seconds_elapsed,z,y,x
69.62802563,7.352363586,3.425089121,-4.550944328
69.64392529,3.237127304,2.543631554,-5.08710289
69.65979419,1.841563225,0.604954004,-2.82778883
69.67557202,1.704498291,-1.981801748,0.556200385
69.6915022,2.151597977,-3.919701576,3.880990505
69.70731006,1.32881546,-4.661221504,5.987648964
69.72314868,1.118467331,-4.451979637,5.884912968
69.73901807,0.242899895,-3.620927334,4.175131321
69.75485645,-1.742668629,-2.918100834,1.623585105
69.7707561,-2.46922493,-2.417247772,0.061170802
69.78662524,-3.270450592,-2.091267586,-0.341384172
69.80243359,-3.683208942,-1.873516917,-0.901236057
69.81833325,-3.073572159,-1.602908134,-1.913992882
69.83408032,-3.483345032,-1.664893985,-3.036358118
69.84997998,-4.75684166,-1.684707046,-2.871302605
69.86581836,-5.63202858,-1.719294429,-3.047813892
69.88159619,-6.46926403,-1.420396328,-2.150792599
69.89743457,-7.01346302,-1.584339619,-0.502224743
69.91321216,-4.614092827,-1.039358854,0.465378046
69.92911182,-1.328863144,-0.492669106,0.336919606
69.94495044,-1.021327019,0.127109528,0.611666679
69.96081982,-1.402095318,0.582841635,-0.23521103
69.97671924,1.278892517,0.777321815,-0.046626292
69.99252734,1.576377869,1.17817235,0.567581892
70.00839648,3.544101715,1.110102654,1.273423314
70.02420483,8.225468636,0.619146585,1.703719139
70.04004321,11.09762764,0.479230642,1.686258674
70.05594287,11.11685467,1.061079264,1.485811949
70.07178174,7.807337761,1.143957376,-1.972348094
70.0876814,2.275858879,0.992121935,-3.302736759
70.10355054,-0.105903625,-0.930107594,-1.88926506
70.11938892,1.980908394,-2.810255051,-0.255140066
70.13525806,4.614645958,-4.163888931,0.638446987
70.1511272,5.567207336,-4.125365257,1.447065711
70.16702686,3.089967728,-3.435523033,0.140948251
70.18283496,-0.966540337,-1.818676829,-2.910583973
70.19867358,-5.218777657,-0.787910223,-3.250855684
70.21454297,-7.936991692,-1.372144222,-1.062569737
70.23032031,-7.349342346,-2.085948944,0.458235621
70.24621997,-4.744631767,-2.543002605,1.402060747
70.26208911,-3.515147209,-2.668435335,1.890632272
70.27789722,-2.106206417,-2.310412407,1.178372979
